ensembl_gene_id	ensembl_transcript_id	chromosome_name	mgi_symbol	description	GR1.logFC	GR1.logCPM	GR1.LR	GR1.PValue	GR1.FDR	GR2.logFC	GR2.logCPM	GR2.LR	GR2.PValue	GR2.FDR
ENSMUSG00000051951	ENSMUST00000162897	1	Xkr4	X Kell blood group precursor related family member 4 [Source:MGI Symbol;Acc:MGI:3528744]	3.2754418482114	5.86710053419132	144.347572818951	2.98263343075922e-33	1.3093760761033e-31	3.88062274071887	5.86710053419132	268.711682163976	2.16618204662661e-60	2.37738479617271e-58
ENSMUSG00000103147	ENSMUST00000192183	1	Gm7341	predicted gene 7341 [Source:MGI Symbol;Acc:MGI:3648497]	3.64511554354009	1.45486424703419	6.52639597174725	0.0106285097149057	0.028980843259898	1.55646588747593	1.45486424703419	1.30268572305287	0.253723227581814	0.371281656361389
ENSMUSG00000025902	ENSMUST00000027035	1	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]	0.0987371778984687	4.19116826658233	0.082429588294282	0.774031514110149	0.86025274606166	-0.719471858031585	4.19116826658233	4.73629986329688	0.0295325235528821	0.0712350430753584
ENSMUSG00000102269	ENSMUST00000195361	1	Gm7357	predicted gene 7357 [Source:MGI Symbol;Acc:MGI:3643257]	-0.851835726126466	3.03525172229191	3.69260219536046	0.054654285701728	0.11535207414932	-1.07819168540415	3.03525172229191	3.77338761985116	0.0520740669210721	0.112530969289442
ENSMUSG00000104328	ENSMUST00000195771	1	Gm37323	predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]	1.57940953752535	2.04989288894747	3.38076217973637	0.0659615449186683	0.137039364751743	0.150705248048053	2.04989288894747	0.0343417801060344	0.852981696534444	0.917791580339757
ENSMUSG00000098104	ENSMUST00000182774	1	Gm6085	predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770]	-0.781431882686731	2.53003045198467	1.62841955365097	0.201921785903915	0.331998741617298	-0.743595913729018	2.53003045198467	1.38503916182804	0.239244656193935	0.364681958573394
ENSMUSG00000102175	ENSMUST00000193443	1	Gm6119	predicted gene 6119 [Source:MGI Symbol;Acc:MGI:3644547]	0.735431742130882	1.63032532394799	0.49145235232839	0.483280157701422	0.625840676197417	0.807505274266674	1.63032532394799	0.596171999597284	0.440042320279247	0.571534256220679
ENSMUSG00000103922	ENSMUST00000193658	1	Gm6123	predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047]	0.09055131895936	3.3075317573323	0.0336743964243311	0.854401130275356	0.919318863212944	0.47988230954274	3.3075317573323	0.937925016105098	0.332812046325846	0.464567020000402
ENSMUSG00000033845	ENSMUST00000130201	1	Mrpl15	mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]	-0.0141926634994863	10.1192543127695	0.0221572230735667	0.881669608712279	0.939448927729832	-0.277908980140763	10.1192543127695	8.4715547006662	0.00360742978018301	0.011311869096431
ENSMUSG00000104217	ENSMUST00000155020	1	Gm37988	predicted gene, 37988 [Source:MGI Symbol;Acc:MGI:5611216]	-0.658683381208537	4.15631929225582	4.3405133574874	0.0372157007219743	0.0864428180790831	-1.0731853566685	4.15631929225582	11.9331424045239	0.000551440841391836	0.00218092368802717
ENSMUSG00000033813	ENSMUST00000081551	1	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]	-0.301333489210594	11.6507210819674	9.88734164418233	0.00166419615721277	0.00549309859410831	-0.319427667982993	11.6507210819674	11.1138507437336	0.000856854028875301	0.00332883998828546
ENSMUSG00000062588	ENSMUST00000078030	1	Gm6104	predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587]	0.0927707403445611	1.87265628261155	0.0111294382229765	0.915982122699594	0.959704419725827	-0.366152253877434	1.87265628261155	0.124209037503572	0.724513537967207	0.819745987545371
ENSMUSG00000103280	ENSMUST00000194052	1	Gm37277	predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]	-0.826597239491879	1.34101503158884	0.391279234958187	0.531627746951407	0.656190805339172	1.57021819073745	1.34101503158884	1.32502674420911	0.249691895952337	0.369692782847503
ENSMUSG00000002459	ENSMUST00000002533	1	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]	-0.527055933916063	3.01638940137485	1.4603843372476	0.226868978581851	0.350183913039637	-0.946135032267	3.01638940137485	3.11120493438549	0.0777554174478595	0.159872599207099
ENSMUSG00000033793	ENSMUST00000192847	1	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]	-0.0251385378865439	12.2272619494298	0.070333243352195	0.790852194941357	0.8745191777815	-0.121406383879306	12.2272619494298	1.63264515455194	0.201337576557214	0.331038187672722
ENSMUSG00000025907	ENSMUST00000159906	1	Rb1cc1	RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]	0.31616499463471	11.4602106015257	13.0173947151455	0.000308610864971376	0.00117808843236899	0.15117074591402	11.4602106015257	2.97191292617859	0.084721618073621	0.170759710960835
ENSMUSG00000090031	ENSMUST00000191825	1	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]	0.734436261830242	6.39831071689507	15.1862204308414	9.74116621398814e-05	0.000403666920453251	0.386803521399806	6.39831071689507	3.99517286839616	0.0456307714314201	0.100159543291967
ENSMUSG00000087247	ENSMUST00000133144	1	Fam150a	family with sequence similarity 150, member A [Source:MGI Symbol;Acc:MGI:3645495]	-0.30455175023042	2.10319118552067	0.161947128521593	0.687370133460336	0.784414105315218	2.28186029421937	2.10319118552067	6.67264173885304	0.00979039655409142	0.0273756948232238
ENSMUSG00000103845	ENSMUST00000194240	1	Gm19026	predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]	-0.126225490576688	2.21840706072864	0.0168170115522308	0.896819273642712	0.94461021300964	-0.709778715119385	2.21840706072864	1.15946190398602	0.281577164757682	0.40752242391534
